date,pitcher,team,matchup,time,slate,park,classification,multiplier,GS,IP,K/9,SwStr%,CSW%,Whiff%,K%,BB%,Proj Ks,DK Line,DK Over,DK Under,FD Line,FD Over,FD Under,Best Line,Best Under,Best Under Book,Residual,BF Call,BF Reason,Lineup Confirmed,PPD%,Rule 5,Actual Ks,Actual IP,Actual BF,Outs Recorded,Final Score,Result,Notes
2026-08-22,Dylan Cease,TOR,TOR @ NYY,2026-08-22T13:35:00+00:00,main,NYY,Mixed,0.91,17,98.1,13.545763412515074,14.950553,31.355439,35.7,,,5.85,8.5,-111,-114,8.5,-108,-118,8.5,-114,DK,-2.65,No call,best Under -114 (DK) > -130,Projected,2.0,Pass,8,6.2,,,Final,UNDER,
2026-08-22,Ryan Weathers,NYY,TOR @ NYY,2026-08-22T13:35:00+00:00,main,NYY,Mixed,0.91,17,92.1,10.137184673939215,11.263916,29.7315,27.2,,,5.7,5.5,102,-130,5.5,118,-150,5.5,-150,FD,0.2,No call,residual +0.20 > -0.75,Projected,2.0,Pass,3,3.1,,,Final,UNDER,
2026-08-22,Martín Pérez,ATL,ATL @ MIL,2026-08-22T14:10:00+00:00,main,MIL,Mixed,0.91,14,81.1,6.8606557645198,8.814353,27.457098000000002,19.7,,,4.83,3.5,-115,-111,3.5,-111,-115,3.5,-111,DK,1.33,No call,residual +1.33 > -0.75; best Under -111 (DK) > -130,Projected,0.0,Pass,2,4.0,,,Final,UNDER,
2026-08-22,Logan Henderson,MIL,ATL @ MIL,2026-08-22T14:10:00+00:00,main,MIL,Mixed,0.91,6,28.1,10.800000484690969,13.255813999999999,27.441860000000002,28.4,,,,6.5,-105,-121,6.5,-104,-122,6.5,-121,DK,,Watch List,GS=6 < 10,Projected,0,Fail,4,6.0,,,Final,UNDER,
2026-08-22,Jake Irvin,WSN,WSN @ MIA,2026-08-22T16:10:00+00:00,main,MIA,Mixed,0.91,11,51.2,10.10322630375161,10.432034,27.291885999999998,23.3,,,5.14,4.5,-111,-115,4.5,-104,-122,4.5,-115,DK,0.64,No call,residual +0.64 > -0.75; best Under -115 (DK) > -130,Projected,0.0,Pass,4,6.0,,,Final,UNDER,
2026-08-22,Eury Pérez,MIA,WSN @ MIA,2026-08-22T16:10:00+00:00,main,MIA,Mixed,0.91,15,79.2,10.054393626397221,13.664122,25.877863,29.2,,,5.44,6.5,104,-132,6.5,112,-142,6.5,-142,FD,-1.06,Under,"Gate PASS: residual -1.06 ≤ -0.75, qualifying Under -142 (FD), Rule 5 pass, PPD ≤ 50%",Projected,0.0,Pass,4,5.0,,,Final,UNDER,BF WIN
2026-08-22,TBD,STL,STL @ PHI,2026-08-22T18:05:00+00:00,main,PHI,Mixed,0.91,,,,,,,,,,,,,,,,,,,,Watch List,Not in FG dashboard cohort,Projected,12,Fail,,,,,,,no box score match
2026-08-22,Andrew Painter,PHI,STL @ PHI,2026-08-22T18:05:00+00:00,main,PHI,Mixed,0.91,12,65,7.338461969138628,9.903592999999999,25.416301,22.8,,,4.67,3.5,-168,131,3.5,-154,120,3.5,131,DK,1.17,No call,residual +1.17 > -0.75; best Under 131 (DK) > -130,Projected,12.0,Pass,8,7.0,,,Final,OVER,
2026-08-22,Shane McClanahan,TBR,TBR @ BAL,2026-08-22T19:05:00+00:00,late,BAL,Mixed,0.91,17,86,8.581395348837209,11.940299,28.656716,,,,4.79,4.5,-105,-122,4.5,-108,-118,4.5,-118,FD,0.29,No call,residual +0.29 > -0.75; best Under -118 (FD) > -130,Projected,19.0,Pass,5,5.0,,,Final,OVER,
2026-08-22,Brandon Young,BAL,TBR @ BAL,2026-08-22T19:05:00+00:00,late,BAL,Mixed,0.91,14,77.1,7.215517715948547,10.505213,25.42101,,,,4.8,3.5,-135,105,3.5,-138,108,3.5,108,FD,1.3,No call,residual +1.30 > -0.75; best Under 108 (FD) > -130,Projected,19.0,Pass,3,5.2,,,Final,UNDER,
2026-08-22,Ryan Johnson,LAA,LAA @ TEX,2026-08-22T19:05:00+00:00,late,TEX,Mixed,0.91,5,28.1,7.623529753899507,12.572534,25.918762,,,,,3.5,-137,108,3.5,-150,118,3.5,118,FD,,Watch List,GS=5 < 10,Projected,0,Fail,3,7.0,,,Final,UNDER,
2026-08-22,Cody Bradford,TEX,LAA @ TEX,2026-08-22T19:05:00+00:00,late,TEX,Mixed,0.91,,,,,,,,,,5.5,122,-155,4.5,-142,112,5.5,-155,DK,,Watch List,Not in FG dashboard cohort,Projected,0,Fail,3,5.1,,,Final,UNDER,
2026-08-22,Jacob Lopez,OAK,OAK @ HOU,2026-08-22T19:10:00+00:00,late,HOU,Mixed,0.91,10,53.2,7.04347834431285,7.869482,24.088292,,,,4.77,4.5,-134,105,4.5,-122,-104,4.5,105,DK,0.27,No call,residual +0.27 > -0.75; best Under 105 (DK) > -130,Projected,0.0,Pass,9,6.0,,,Final,OVER,
2026-08-22,Hunter Brown,HOU,OAK @ HOU,2026-08-22T19:10:00+00:00,late,HOU,Mixed,0.91,6,29.1,10.738636829143733,9.594096,28.413284,,,,,6.5,126,-161,5.5,-128,100,6.5,-161,DK,,Watch List,GS=6 < 10,Projected,0,Fail,4,5.2,,,Final,UNDER,
2026-08-22,Christian Scott,NYM,NYM @ CWS,2026-08-22T19:10:00+00:00,late,CWS,Mixed,0.91,12,54,10.833334098627592,11.600000000000001,26.700000000000003,,,,5.34,6.5,126,-161,5.5,-158,124,6.5,-161,DK,-1.16,Under,"Gate PASS: residual -1.16 ≤ -0.75, qualifying Under -161 (DK), Rule 5 pass, PPD ≤ 50%",Projected,2.0,Pass,6,4.2,,,Final,UNDER,BF WIN
2026-08-22,Luis Castillo,CWS,NYM @ CWS,2026-08-22T19:10:00+00:00,late,CWS,Mixed,0.91,14,82.2,8.383065064153772,11.111111,24.242424,,,,5.19,4.5,-115,-110,4.5,-115,-111,4.5,-110,DK,0.69,No call,residual +0.69 > -0.75; best Under -110 (DK) > -130,Projected,2.0,Pass,3,2.2,,,Final,UNDER,
2026-08-22,Drew Anderson,DET,DET @ KCR,2026-08-22T19:15:00+00:00,late,KCR,Mixed,0.91,2,54.2,11.195123253231893,13.592233,28.694713999999998,,,,,4.5,125,-160,4.5,134,-172,4.5,-172,FD,,Watch List,GS=2 < 10,Projected,0,Fail,4,5.0,,,Final,UNDER,
2026-08-22,Michael Wacha,KCR,DET @ KCR,2026-08-22T19:15:00+00:00,late,KCR,Mixed,0.91,19,119.1,7.240223772282255,9.162451,25.857223,,,,4.74,4.5,118,-151,4.5,124,-158,4.5,-158,FD,0.24,No call,residual +0.24 > -0.75,Projected,0.0,Pass,6,7.0,,,Final,OVER,
2026-08-22,Jared Jones,PIT,PIT @ LAD,2026-08-22T19:15:00+00:00,late,LAD,Mixed,0.91,8,35,10.028571428571428,14.211438000000001,27.729636000000003,,,,,4.5,-158,123,4.5,-150,118,4.5,123,DK,,Watch List,GS=8 < 10,Projected,1,Fail,5,4.0,,,Final,OVER,
2026-08-22,Tarik Skubal,LAD,PIT @ LAD,2026-08-22T19:15:00+00:00,late,LAD,Mixed,0.91,12,70.2,10.698113592547779,14.967258999999999,30.49579,,,,5.6,8.5,-101,-126,8.5,104,-132,8.5,-132,FD,-2.9,Under,"Gate PASS: residual -2.90 ≤ -0.75, qualifying Under -132 (FD), Rule 5 pass, PPD ≤ 50%",Projected,1.0,Pass,11,7.0,,,Final,OVER,BF LOSS
