date,slate,pitcher,team,matchup,K/9,IP,GS,ip_per_start,k9_bucket,v35_proj,v40_proj,delta,best_line,v35_residual,v40_residual,bf_call,actual_ks,actual_result
2026-07-10,AM,Aaron Nola,PHI,PHI @ DET,9.2,92,18,5.11,9-11,5.13,5.32,0.19,5.5,-0.37,-0.18,No call,,
2026-07-10,AM,Jack Flaherty,DET,PHI @ DET,10.85,76.1,17,4.48,9-11,5.28,5.49,0.21,5.5,-0.22,-0.01,No call,,
2026-07-10,AM,Brandon Sproat,MIL,MIL @ PIT,9.57,79,15,5.27,9-11,5.37,5.59,0.22,5.5,-0.13,0.09,No call,,
2026-07-10,AM,Braxton Ashcraft,PIT,MIL @ PIT,10.14,108.1,18,6.01,9-11,5.34,5.87,0.53,6.5,-1.16,-0.63,Under,,
2026-07-10,AM,Ryan Weathers,NYY,NYY @ WSN,10.14,92.1,17,5.42,9-11,5.39,5.86,0.47,5.5,-0.11,0.36,No call,,
2026-07-10,AM,Brandon Young,BAL,KCR @ BAL,7.22,77.1,14,5.51,7-9,4.8,4.83,0.03,4.5,0.3,0.33,No call,,
2026-07-10,AM,Shota Imanaga,CHC,CHC @ CIN,8.74,103,18,5.72,7-9,5.29,5.73,0.44,5.5,-0.21,0.23,No call,,
2026-07-10,AM,Luis Castillo,SEA,SEA @ TBR,8.38,82.2,14,5.87,7-9,5.42,5.85,0.43,4.5,0.92,1.35,No call,,
2026-07-10,AM,Nick Martinez,TBR,SEA @ TBR,5.49,100,17,5.88,<7,4.46,4.74,0.28,4.5,-0.04,0.24,No call,,
2026-07-10,AM,Parker Messick,CLE,CLE @ MIA,9.25,106,18,5.89,9-11,5.54,6.01,0.47,5.5,0.04,0.51,No call,,
2026-07-10,AM,Sandy Alcantara,MIA,CLE @ MIA,6.7,123.2,19,6.48,<7,4.81,5.18,0.37,5.5,-0.69,-0.32,No call,,
2026-07-10,AM,Sonny Gray,BOS,BOS @ NYM,8.23,89.2,16,5.58,7-9,5.17,5.35,0.18,5.5,-0.33,-0.15,No call,,
2026-07-10,AM,Nolan McLean,NYM,BOS @ NYM,10.48,101.1,18,5.62,9-11,5.34,5.85,0.51,6.5,-1.16,-0.65,No call,,
2026-07-10,AM,Jacob Lopez,OAK,OAK @ CWS,7.04,53.2,10,5.32,7-9,4.71,4.72,0.01,,,,No call,,
2026-07-10,AM,Sean Burke,CWS,OAK @ CWS,9.67,98.2,14,7.01,9-11,6.08,5.48,-0.6,5.5,0.58,-0.02,No call,,
2026-07-10,AM,Zebby Matthews,MIN,LAA @ MIN,7.52,61,10,6.1,7-9,5.18,5.36,0.18,5.5,-0.32,-0.14,No call,,
2026-07-10,AM,Chris Sale,ATL,ATL @ STL,10.61,95,16,5.94,9-11,5.37,5.92,0.55,6.5,-1.13,-0.58,Under,,
2026-07-10,AM,Kyle Leahy,STL,ATL @ STL,7.61,86.1,17,5.06,7-9,4.53,4.86,0.33,3.5,1.03,1.36,No call,,
2026-07-10,AM,Eduardo Rodriguez,ARI,ARI @ LAD,6.17,108,18,6.0,<7,4.61,4.61,0.0,4.5,0.11,0.11,No call,,
2026-07-10,AM,Shohei Ohtani,LAD,ARI @ LAD,9.98,85.2,14,6.09,9-11,5.44,5.97,0.53,6.5,-1.06,-0.53,Under,,
2026-07-10,AM,Robbie Ray,SFG,COL @ SFG,7.61,101.2,17,5.95,7-9,4.98,5.37,0.39,5.5,-0.52,-0.13,No call,,
2026-07-10,LATE,Brandon Young,BAL,KCR @ BAL,7.22,77.1,14,5.51,7-9,4.8,4.83,0.03,4.5,0.3,0.33,No call,,
2026-07-10,LATE,Shota Imanaga,CHC,CHC @ CIN,8.74,103,18,5.72,7-9,5.29,5.73,0.44,5.5,-0.21,0.23,No call,,
2026-07-10,LATE,Luis Castillo,SEA,SEA @ TBR,8.38,82.2,14,5.87,7-9,5.42,5.85,0.43,4.5,0.92,1.35,No call,,
2026-07-10,LATE,Nick Martinez,TBR,SEA @ TBR,5.49,100,17,5.88,<7,4.46,4.74,0.28,4.5,-0.04,0.24,No call,,
2026-07-10,LATE,Parker Messick,CLE,CLE @ MIA,9.25,106,18,5.89,9-11,5.54,6.01,0.47,5.5,0.04,0.51,No call,,
2026-07-10,LATE,Sandy Alcantara,MIA,CLE @ MIA,6.7,123.2,19,6.48,<7,4.81,5.18,0.37,5.5,-0.69,-0.32,No call,,
2026-07-10,LATE,Sonny Gray,BOS,BOS @ NYM,8.23,89.2,16,5.58,7-9,5.17,5.35,0.18,5.5,-0.33,-0.15,No call,,
2026-07-10,LATE,Nolan McLean,NYM,BOS @ NYM,10.48,101.1,18,5.62,9-11,5.34,5.85,0.51,6.5,-1.16,-0.65,No call,,
2026-07-10,LATE,Jacob Lopez,OAK,OAK @ CWS,7.04,53.2,10,5.32,7-9,4.71,4.72,0.01,,,,No call,,
2026-07-10,LATE,Sean Burke,CWS,OAK @ CWS,9.67,98.2,14,7.01,9-11,6.08,5.48,-0.6,5.5,0.58,-0.02,No call,,
2026-07-10,LATE,Zebby Matthews,MIN,LAA @ MIN,7.52,61,10,6.1,7-9,5.18,5.36,0.18,5.5,-0.32,-0.14,No call,,
2026-07-10,LATE,Chris Sale,ATL,ATL @ STL,10.61,95,16,5.94,9-11,5.37,5.92,0.55,6.5,-1.13,-0.58,Under,,
2026-07-10,LATE,Kyle Leahy,STL,ATL @ STL,7.61,86.1,17,5.06,7-9,4.53,4.86,0.33,3.5,1.03,1.36,No call,,
2026-07-10,LATE,Eduardo Rodriguez,ARI,ARI @ LAD,6.17,108,18,6.0,<7,4.61,4.61,0.0,4.5,0.11,0.11,No call,,
2026-07-10,LATE,Shohei Ohtani,LAD,ARI @ LAD,9.98,85.2,14,6.09,9-11,5.44,5.97,0.53,6.5,-1.06,-0.53,Under,,
2026-07-10,LATE,Robbie Ray,SFG,COL @ SFG,7.61,101.2,17,5.95,7-9,4.98,5.37,0.39,5.5,-0.52,-0.13,No call,,
2026-07-10,AM,Aaron Nola,PHI,PHI @ DET,9.2,92,18,5.11,9-11,5.13,5.32,0.19,5.5,-0.37,-0.18,No call,,
2026-07-10,AM,Jack Flaherty,DET,PHI @ DET,10.85,76.1,17,4.48,9-11,5.28,5.49,0.21,5.5,-0.22,-0.01,No call,,
2026-07-10,AM,Brandon Sproat,MIL,MIL @ PIT,9.57,79,15,5.27,9-11,5.37,5.59,0.22,5.5,-0.13,0.09,No call,,
2026-07-10,AM,Braxton Ashcraft,PIT,MIL @ PIT,10.14,108.1,18,6.01,9-11,5.34,5.87,0.53,6.5,-1.16,-0.63,Under,,
2026-07-10,AM,Ryan Weathers,NYY,NYY @ WSN,10.14,92.1,17,5.42,9-11,5.39,5.86,0.47,5.5,-0.11,0.36,No call,,
2026-07-10,AM,Brandon Young,BAL,KCR @ BAL,7.22,77.1,14,5.51,7-9,4.8,4.83,0.03,4.5,0.3,0.33,No call,,
2026-07-10,AM,Shota Imanaga,CHC,CHC @ CIN,8.74,103,18,5.72,7-9,5.29,5.73,0.44,5.5,-0.21,0.23,No call,,
2026-07-10,AM,Luis Castillo,SEA,SEA @ TBR,8.38,82.2,14,5.87,7-9,5.42,5.85,0.43,4.5,0.92,1.35,No call,,
2026-07-10,AM,Nick Martinez,TBR,SEA @ TBR,5.49,100,17,5.88,<7,4.46,4.74,0.28,4.5,-0.04,0.24,No call,,
2026-07-10,AM,Parker Messick,CLE,CLE @ MIA,9.25,106,18,5.89,9-11,5.54,6.01,0.47,5.5,0.04,0.51,No call,,
2026-07-10,AM,Sandy Alcantara,MIA,CLE @ MIA,6.7,123.2,19,6.48,<7,4.81,5.18,0.37,5.5,-0.69,-0.32,No call,,
2026-07-10,AM,Sonny Gray,BOS,BOS @ NYM,8.23,89.2,16,5.58,7-9,5.17,5.35,0.18,5.5,-0.33,-0.15,No call,,
2026-07-10,AM,Nolan McLean,NYM,BOS @ NYM,10.48,101.1,18,5.62,9-11,5.34,5.85,0.51,6.5,-1.16,-0.65,No call,,
2026-07-10,AM,Jacob Lopez,OAK,OAK @ CWS,7.04,53.2,10,5.32,7-9,4.71,4.72,0.01,,,,No call,,
2026-07-10,AM,Sean Burke,CWS,OAK @ CWS,9.67,98.2,14,7.01,9-11,6.08,5.48,-0.6,5.5,0.58,-0.02,No call,,
2026-07-10,AM,Zebby Matthews,MIN,LAA @ MIN,7.52,61,10,6.1,7-9,5.18,5.36,0.18,5.5,-0.32,-0.14,No call,,
2026-07-10,AM,Chris Sale,ATL,ATL @ STL,10.61,95,16,5.94,9-11,5.37,5.92,0.55,6.5,-1.13,-0.58,Under,,
2026-07-10,AM,Kyle Leahy,STL,ATL @ STL,7.61,86.1,17,5.06,7-9,4.53,4.86,0.33,3.5,1.03,1.36,No call,,
2026-07-10,AM,Eduardo Rodriguez,ARI,ARI @ LAD,6.17,108,18,6.0,<7,4.61,4.61,0.0,4.5,0.11,0.11,No call,,
2026-07-10,AM,Shohei Ohtani,LAD,ARI @ LAD,9.98,85.2,14,6.09,9-11,5.44,5.97,0.53,6.5,-1.06,-0.53,Under,,
2026-07-10,AM,Robbie Ray,SFG,COL @ SFG,7.61,101.2,17,5.95,7-9,4.98,5.37,0.39,5.5,-0.52,-0.13,No call,,
2026-07-10,LATE,Brandon Young,BAL,KCR @ BAL,7.22,77.1,14,5.51,7-9,4.8,4.83,0.03,4.5,0.3,0.33,No call,,
2026-07-10,LATE,Shota Imanaga,CHC,CHC @ CIN,8.74,103,18,5.72,7-9,5.29,5.73,0.44,5.5,-0.21,0.23,No call,,
2026-07-10,LATE,Luis Castillo,SEA,SEA @ TBR,8.38,82.2,14,5.87,7-9,5.42,5.85,0.43,4.5,0.92,1.35,No call,,
2026-07-10,LATE,Nick Martinez,TBR,SEA @ TBR,5.49,100,17,5.88,<7,4.46,4.74,0.28,3.5,0.96,1.24,No call,,
2026-07-10,LATE,Parker Messick,CLE,CLE @ MIA,9.25,106,18,5.89,9-11,5.54,6.01,0.47,5.5,0.04,0.51,No call,,
2026-07-10,LATE,Sandy Alcantara,MIA,CLE @ MIA,6.7,123.2,19,6.48,<7,4.81,5.18,0.37,5.5,-0.69,-0.32,No call,,
2026-07-10,LATE,Sonny Gray,BOS,BOS @ NYM,8.23,89.2,16,5.58,7-9,5.17,5.35,0.18,5.5,-0.33,-0.15,No call,,
2026-07-10,LATE,Nolan McLean,NYM,BOS @ NYM,10.48,101.1,18,5.62,9-11,5.34,5.85,0.51,6.5,-1.16,-0.65,No call,,
2026-07-10,LATE,Jacob Lopez,OAK,OAK @ CWS,7.04,53.2,10,5.32,7-9,4.71,4.72,0.01,,,,No call,,
2026-07-10,LATE,Sean Burke,CWS,OAK @ CWS,9.67,98.2,14,7.01,9-11,6.08,5.48,-0.6,5.5,0.58,-0.02,No call,,
2026-07-10,LATE,Zebby Matthews,MIN,LAA @ MIN,7.52,61,10,6.1,7-9,5.18,5.36,0.18,5.5,-0.32,-0.14,No call,,
2026-07-10,LATE,Chris Sale,ATL,ATL @ STL,10.61,95,16,5.94,9-11,5.37,5.92,0.55,6.5,-1.13,-0.58,No call,,
2026-07-10,LATE,Kyle Leahy,STL,ATL @ STL,7.61,86.1,17,5.06,7-9,4.53,4.86,0.33,3.5,1.03,1.36,No call,,
2026-07-10,LATE,Eduardo Rodriguez,ARI,ARI @ LAD,6.17,108,18,6.0,<7,4.61,4.61,0.0,3.5,1.11,1.11,No call,,
2026-07-10,LATE,Robbie Ray,SFG,COL @ SFG,7.61,101.2,17,5.95,7-9,4.98,5.37,0.39,5.5,-0.52,-0.13,No call,,
